,totals
1453,967397937
1454,53
1455,2235897
1456,5961708
1457,394761965
1458,4428194678
1459,4822956643
1460,1344941817
1461,5720239179
1462,7065180996
1463,202863608
1464,907573553
1465,1110437161
1466,92915692
1467,303510729
1468,396426421
1469,967397937
1470,53
1471,2235897
1472,5961708
1473,394761965
1474,4428194678
1475,4822956643
1476,1344941817
1477,5720239179
1478,7065180996
1479,202863608
1480,907573553
1481,1110437161
1482,92915692
1483,303510729
1484,396426421
1485,967397937
1486,53
1487,2235897
1488,5961708
1489,394761965
1490,4428194678
1491,4822956643
1492,1344941817
1493,5720239179
1494,7065180996
1495,202863608
1496,907573553
1497,1110437161
1498,92915692
1499,303510729
1500,396426421
1501,967397937
1502,53
1503,2235897
1504,5961708
1505,394761965
1506,4428194678
1507,4822956643
1508,1344941817
1509,5720239179
1510,7065180996
1511,202863608
1512,907573553
1513,1110437161
1514,92915692
1515,303510729
1516,396426421
1517,967397937
1518,53
1519,2235897
1520,5961708
1521,394761965
1522,4428194678
1523,4822956643
1524,1344941817
1525,5720239179
1526,7065180996
1527,202863608
1528,907573553
1529,1110437161
1530,92915692
1531,303510729
1532,396426421
1533,967397937
1534,53
1535,2235897
1536,5961708
1537,394761965
1538,4428194678
1539,4822956643
1540,1344941817
1541,5720239179
1542,7065180996
1543,202863608
1544,907573553
1545,1110437161
1546,92915692
1547,303510729
1548,396426421
1549,967397937
1550,53
1551,2235897
1552,5961708
1553,394761965
1554,4428194678
1555,4822956643
1556,1344941817
1557,5720239179
1558,7065180996
1559,202863608
1560,907573553
1561,1110437161
1562,92915692
1563,303510729
1564,396426421
1565,967397937
1566,53
1567,2235897
1568,5961708
1569,394761965
1570,4428194678
1571,4822956643
1572,1344941817
1573,5720239179
1574,7065180996
1575,202863608
1576,907573553
1577,1110437161
1578,92915692
1579,303510729
1580,396426421
1581,967397937
1582,53
1583,2235897
1584,5961708
1585,394761965
1586,4428194678
1587,4822956643
1588,1344941817
1589,5720239179
1590,7065180996
1591,202863608
1592,907573553
1593,1110437161
1594,92915692
1595,303510729
1596,396426421
1597,967397937
1598,53
1599,2235897
1600,5961708
1601,394761965
1602,4428194678
1603,4822956643
1604,1344941817
1605,5720239179
1606,7065180996
1607,202863608
1608,907573553
1609,1110437161
1610,92915692
1611,303510729
1612,396426421
1613,967397937
1614,53
1615,2235897
1616,5961708
1617,394761965
1618,4428194678
1619,4822956643
1620,1344941817
1621,5720239179
1622,7065180996
1623,202863608
1624,907573553
1625,1110437161
1626,92915692
1627,303510729
1628,396426421
1629,967397937
1630,53
1631,2235897
1632,5961708
1633,394761965
1634,4428194678
1635,4822956643
1636,1344941817
1637,5720239179
1638,7065180996
1639,202863608
1640,907573553
1641,1110437161
1642,92915692
1643,303510729
1644,396426421
1645,967397937
1646,53
1647,2235897
1648,5961708
1649,394761965
1650,4428194678
1651,4822956643
1652,1344941817
1653,5720239179
1654,7065180996
1655,202863608
1656,907573553
1657,1110437161
1658,92915692
1659,303510729
1660,396426421
1661,967397937
1662,53
1663,2235897
1664,5961708
1665,394761965
1666,4428194678
1667,4822956643
1668,1344941817
1669,5720239179
1670,7065180996
1671,202863608
1672,907573553
1673,1110437161
1674,92915692
1675,303510729
1676,396426421
1677,967397937
1678,53
1679,2235897
1680,5961708
1681,394761965
1682,4428194678
1683,4822956643
1684,1344941817
1685,5720239179
1686,7065180996
1687,202863608
1688,907573553
1689,1110437161
1690,92915692
1691,303510729
1692,396426421
1693,967397937
1694,53
1695,2235897
1696,5961708
1697,394761965
1698,4428194678
1699,4822956643
1700,1344941817
1701,5720239179
1702,7065180996
1703,202863608
1704,907573553
1705,1110437161
1706,92915692
1707,303510729
1708,396426421
1709,967397937
1710,53
1711,2235897
1712,5961708
1713,394761965
1714,4428194678
1715,4822956643
1716,1344941817
1717,5720239179
1718,7065180996
1719,202863608
1720,907573553
1721,1110437161
1722,92915692
1723,303510729
1724,396426421
1725,967397937
1726,53
1727,2235897
1728,5961708
1729,394761965
1730,4428194678
1731,4822956643
1732,1344941817
1733,5720239179
1734,7065180996
1735,202863608
1736,907573553
1737,1110437161
1738,92915692
1739,303510729
1740,396426421
1741,967397937
1742,53
1743,2235897
1744,5961708
1745,394761965
1746,4428194678
1747,4822956643
1748,1344941817
1749,5720239179
1750,7065180996
1751,202863608
1752,907573553
1753,1110437161
1754,92915692
1755,303510729
1756,396426421
1757,967397937
1758,53
1759,2235897
1760,5961708
1761,394761965
1762,4428194678
1763,4822956643
1764,1344941817
1765,5720239179
1766,7065180996
1767,202863608
1768,907573553
1769,1110437161
1770,92915692
1771,303510729
1772,396426421
1773,967397937
1774,53
1775,2235897
1776,5961708
1777,394761965
1778,4428194678
1779,4822956643
1780,1344941817
1781,5720239179
1782,7065180996
1783,202863608
1784,907573553
1785,1110437161
1786,92915692
1787,303510729
1788,396426421
1789,967397937
1790,53
1791,2235897
1792,5961708
1793,394761965
1794,4428194678
1795,4822956643
1796,1344941817
1797,5720239179
1798,7065180996
1799,202863608
1800,907573553
1801,1110437161
1802,92915692
1803,303510729
1804,396426421
1805,967397937
1806,53
1807,2235897
1808,5961708
1809,394761965
1810,4428194678
1811,4822956643
1812,1344941817
1813,5720239179
1814,7065180996
1815,202863608
1816,907573553
1817,1110437161
1818,92915692
1819,303510729
1820,396426421
1821,967397937
1822,53
1823,2235897
1824,5961708
1825,394761965
1826,4428194678
1827,4822956643
1828,1344941817
1829,5720239179
1830,7065180996
1831,202863608
1832,907573553
1833,1110437161
1834,92915692
1835,303510729
1836,396426421
1837,967397937
1838,53
1839,2235897
1840,5961708
